Firm Name,Ownership,PE Funds Raised L10Y p.a. ($M),Year Est.,City,Team Size,PE Dry Powder per Person ($M),Total AUM ($M),AUM per Person ($M),PE AUM ($M),PD AUM ($M),PE Dry Powder ($M),PD Dry Powder ($M),PE Funds Raised 10Y ($M),PD Funds Raised 10Y ($M),PE Funds in Market,PE Funds Closed,PE Strategies,PD Strategies,What They're Known For
Wellspring Capital Management,Independent Firm, 248  ,1995,New York,15,51,"3,500",133,-,-,766,-,"2,476",-,5,9,"Buyout, Co-Investment, Complex Situation, Divestiture, Expansion / Late Stage, Growth, Public to Private, Recapitalisation, Reorganisation, Restructuring, Spin-Offs, Succession, Turnaround",-,"Conservative leverage approach founded 1995, focuses on growth in profitability over financial engineering"
Lee Equity Partners,Independent Firm, 246  ,2006,New York,29,32,"4,500",172,"4,900",-,938,-,"2,458",-,1,8,"Buyout, Growth",-,Independent buyout and growth equity firm
ZMC,Independent Firm, 236  ,2001,New York,19,28,-,159,-,-,528,-,"2,364",-,0,10,"Buyout, Divestiture, Growth, Management Buy-in, Management Buyout, Recapitalisation, Spin-Offs, Turnaround",-,Independent turnaround and restructuring specialist buyout and growth equity firm
Hildred,Family Office Founded, 236  ,2014,New York,14,105,-,214,-,-,"1,467",-,"2,355",-,8,4,"Buyout, Expansion / Late Stage, Growth",-,"Healthcare-focused lower middle-market PE specializing in operationally intensive, control-oriented investments"
Bonaccord Capital Partners,Independent Firm, 234  ,2017,New York,11,85,"19,400",464,-,-,932,-,"2,339",-,0,2,"Buyout, Co-Investment, Growth, Succession",-,"GP stakes specialist - acquires non-control equity in private equity, credit, and real estate sponsors"
PPMAmerica,Captive Arm – Corporate, 233  ,1991,Chicago,112,8,"1,963",750,"6,200","10,000",942,-,"2,328",-,2,8,"Buyout, Co-Investment, Expansion / Late Stage, Growth, Management Buy-in, Management Buyout, Recapitalisation, Restructuring, Secondaries",-,Captive arm secondaries specialist turnaround and restructuring specialist buyout and growth equity firm
PineBridge Investments,Independent Firm, 231  ,1996,New York,220,2,"12,527,590",909,"93,500","3,840",477,458,"2,311","1,655",1,41,"Buyout, Co-Investment, Expansion / Late Stage, Fund of Funds, Growth, Recapitalisation, Secondaries, Venture (General)","Direct Lending, Mezzanine, Senior Debt, Unitranche Debt","Global emerging markets specialist with private equity, fund-of-funds, and secondaries strategies"
Rhone Group,Independent Firm, 229  ,1996,New York,18,38,-,556,-,-,676,-,"2,291",-,0,6,"Buyout, Complex Situation, Divestiture, Growth, Management Buyout, Recapitalisation, Reorganisation, Restructuring, Spin-Offs",-,"Transatlantic middle-market PE in consumer, healthcare, industrials (founded 1996)"
Palladium,Independent Firm, 229  ,1997,New York,24,26,"7,000",146,-,-,626,-,"2,285",-,2,6,"Buyout, Co-Investment, Divestiture, Growth, Management Buyout, Recapitalisation, Spin-Offs",-,Independent buyout and growth equity firm
Tailwind Capital,Independent Firm, 222  ,2005,New York,32,8,"165,000",116,-,-,256,-,"2,224",-,2,6,"Buyout, Co-Investment, Growth, Management Buyout, Recapitalisation",-,Independent buyout and growth equity firm
Churchill Asset Management,Independent Firm, 215  ,2015,New York,66,19,"4,172",5,-,-,"1,240",-,"2,151",-,2,1,"Co-Investment, Fund of Funds, Growth, Secondaries",-,Captive arm secondaries and direct secondaries investor buyout and growth equity firm
Magnetar Capital,Independent Firm, 212  ,2005,Evanston,59,10,"2,000",322,-,-,563,482,"2,120","1,025",3,4,"Early Stage: Start-up, Growth, Restructuring","CLOs, Direct Lending, Real Estate Debt",Independent turnaround and restructuring specialist growth equity firm
Mesirow Financial,Independent Firm, 207  ,1937,Chicago,16,20,300,775,-,-,322,-,"2,070",-,5,19,"Buyout, Co-Investment, Fund of Funds, Growth, Secondaries, Venture (General)",-,Independent fund-of-funds specialist buyout and growth equity firm
Corsair Capital,Corporate Spin-off, 206  ,1992,New York,37,14,-,257,"4,900",-,520,-,"2,064",-,1,6,"Buyout, Co-Investment, Growth",-,Corporate spin-off buyout and growth equity firm
Willowridge Partners,Independent Firm, 205  ,1992,New York,10,38,"14,300",300,-,-,378,-,"2,050",-,0,9,"Buyout, Direct Secondaries, Fund of Funds, Secondaries, Venture (General)",-,Independent fund-of-funds specialist middle-market buyout firm
Churchill Asset Management,Captive Arm – Corporate, 204  ,2015,New York,66,13,773,833,"14,462","22,801",880,685,"2,037","7,552",1,3,"Buyout, Co-Investment, Direct Secondaries, Growth","BDCs, CLOs, Direct Lending, Mezzanine, Junior / Subordinated Debt, Senior Debt, Unitranche Debt",Captive arm secondaries and direct secondaries investor buyout and growth equity firm
W Capital Partners,Independent Firm, 197  ,2001,New York,11,54,"20,000",173,-,-,596,-,"1,973",-,2,14,"Buyout, Complex Situation, Direct Secondaries, Divestiture, Expansion / Late Stage, Growth, Recapitalisation, Secondaries, Spin-Offs, pre-IPO",-,Secondary market liquidity specialist providing exit flexibility and growth capital for private companies
Frontenac Company,Independent Firm, 195  ,1971,Chicago,22,42,"1,000",29,-,-,925,-,"1,951",-,0,11,"Buyout, Expansion / Late Stage, Growth",-,"Chicago lower middle-market PE (50+ years) with CEO1ST executive-centric approach in consumer, industrial, services"
The Raine Group,Independent Firm, 190  ,2009,New York,95,4,"3,293,000",33,"3,100",-,384,-,"1,900",-,1,7,"Co-Investment, Divestiture, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth, Restructuring, Venture (General)",-,Independent turnaround and restructuring specialist growth equity firm
Integrum,Independent Firm, 185  ,2021,New York,11,97,"5,387",172,"1,888",-,"1,063",-,"1,850",-,5,3,Buyout,-,"Technology-enabled services specialist, focuses on B2B financial services and information services (founded 2021)"
CIVC Partners,Independent Firm, 184  ,1970,Chicago,25,26,"3,500",48,-,-,652,-,"1,840",-,0,10,"Buyout, Direct Secondaries, Expansion / Late Stage, Growth, Management Buyout, Recapitalisation",-,Independent secondaries and direct secondaries investor buyout and growth equity firm
New 2nd Capital,Independent Firm, 174  ,2016,New York,11,59,"2,000",209,"2,300",-,646,-,"1,743",-,0,3,"Buyout, Co-Investment, Direct Secondaries, Fund of Funds, Growth, Secondaries",-,GP-led secondary transactions specialist in US middle and lower-middle market with $3B+ in deals closed
NexPhase Capital,Corporate Spin-off, 170  ,2016,New York,23,17,"1,900",113,-,-,389,-,"1,700",-,0,5,"Buyout, Growth, Management Buyout, Recapitalisation",-,Corporate spin-off buyout and growth equity firm
Aterian Investment Partners,Independent Firm, 164  ,2009,New York,17,45,"5,553",-,-,-,766,766,"1,644","1,644",0,6,"Buyout, Co-Investment, Complex Situation, Divestiture, Growth, Restructuring, Spin-Offs, Turnaround","Distressed Debt, Special Situations","Turnaround and distressed specialist, won 'PE Firm of the Year' award 2016"
New State Capital Partners,Independent Firm, 158  ,2013,New Rochelle,18,43,"1,200",78,-,-,771,-,"1,582",-,4,7,"Buyout, Co-Investment, Complex Situation, Divestiture, Growth, Restructuring","Direct Lending, Mezzanine, Junior / Subordinated Debt, Senior Debt","Independent turnaround, restructuring, and special situations focus buyout and growth equity firm"
Orion Resource Partners,Independent Firm, 156  ,2013,New York,22,20,"12,400",373,-,-,429,-,"1,560",-,3,4,"Co-Investment, Growth, Management Buyout, Reorganisation",-,Independent buyout and growth equity firm
CORE Industrial Partners,Independent Firm, 155  ,2017,Chicago,35,23,"1,700",45,-,-,808,-,"1,554",-,0,4,"Buyout, Complex Situation, Divestiture, Expansion / Late Stage, Growth, Management Buyout, Restructuring, Succession, Turnaround",-,"Independent turnaround, restructuring, and special situations focus buyout and growth equity firm"
GrowthCurve Capital,Independent Firm, 155  ,2020,New York,9,43,"17,000",133,-,-,385,-,"1,550",-,1,2,"Buyout, Growth",-,Independent buyout and growth equity firm
Radian Capital,Independent Firm, 155  ,2016,New York,20,42,"840,000",50,-,-,848,-,"1,550",-,0,4,"Expansion / Late Stage, Growth",-,Independent growth equity firm
Rosecliff Ventures,Independent Firm, 155  ,2016,New York,9,33,"5,000",111,-,-,297,44,"1,548",386,1,8,"Complex Situation, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth, PIPE, Secondaries, Venture (General), pre-IPO","Direct Lending, Secondaries, Venture Debt",Independent secondaries specialist complex situations and special transactions growth equity firm
Painswick Capital,-, 150  ,2024,New York,-,-,-,-,-,-,"1,350",-,"1,500",-,0,1,Buyout,-,Independent middle-market buyout firm
Vivaldi Capital Management,Independent Firm, 149  ,2012,Chicago,30,14,"3,500",-,-,-,432,-,"1,490",-,1,0,"Fund of Funds, Growth",-,Independent fund-of-funds specialist growth equity firm
Ospraie Management,Independent Firm, 149  ,2004,Rye,8,66,"3,391",31,-,-,531,-,"1,485",-,2,0,"Buyout, Recapitalisation",Special Situations,"Commodities and basic industries specialist with hedge fund, real assets PE, and agricultural technology VC strategies"
LionTree,Independent Firm, 145  ,2012,New York,13,22,"5,000",100,-,-,281,-,"1,452",-,3,5,"Co-Investment, Growth, Recapitalisation, Restructuring, Venture (General)",-,Independent turnaround and restructuring specialist growth equity firm
Bessemer Investors,Independent Firm, 143  ,2018,New York,11,114,"55,000",-,-,-,"1,255",-,"1,434",-,0,1,"Divestiture, Expansion / Late Stage, Growth, PIPE, Public to Private, Spin-Offs",-,"Family office-backed (Phipps family) middle-market PE with patient, committed capital and long-term partnership approach"
Behrman Capital,Independent Firm, 142  ,1991,New York,18,22,"1,300",228,-,-,388,-,"1,416",-,0,8,"Buyout, Divestiture, Growth, Management Buyout, Recapitalisation, Spin-Offs",-,Independent buyout and growth equity firm
InTandem Capital Partners,Independent Firm, 139  ,2012,New York,23,19,"1,750",181,-,-,430,-,"1,391",-,8,7,"Buyout, Growth",-,Independent buyout and growth equity firm
Promus Ventures,Independent Firm, 138  ,2012,Chicago,7,50,"1,211,207",348,-,-,347,-,"1,382",-,3,36,"Buyout, Co-Investment, Complex Situation, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth, Venture (General)",-,Chicago-based early-stage VC focused on deep-tech software and hardware companies (founded 2012)
Energize Capital,Captive Arm – Corporate, 132  ,2016,Chicago,12,30,"97,000",133,-,-,363,-,"1,323",-,7,14,"Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth, Private to Public",-,Captive arm growth equity firm
Long Ridge,Independent Firm, 132  ,2007,New York,20,19,"4,500",88,"1,750",-,381,-,"1,322",-,0,4,"Buyout, Expansion / Late Stage, Growth, Recapitalisation, Restructuring, Turnaround, pre-IPO",-,Independent turnaround and restructuring specialist buyout and growth equity firm
S2G Ventures,Independent Firm, 131  ,2014,Chicago,45,10,"10,000",44,-,-,446,-,"1,305",-,1,4,"Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth, Hybrid, Venture (General)",-,Independent growth equity firm
Lyric Capital Group,Independent Firm, 130  ,2018,New York,4,107,"3,000",-,-,-,427,-,"1,302",-,0,4,Buyout,-,"Music royalties and IP assets specialist, acquires and manages music copyrights and related intellectual property"
TPG Angelo Gordon,Independent Firm, 127  ,1988,New York,154,5,"17,305",597,-,-,754,"3,744","1,267","14,286",12,5,"Buyout, Co-Investment, Growth, Management Buyout, Recapitalisation, Reorganisation","Direct Lending, Distressed Debt, Real Estate Debt, Special Situations, Blended / Opportunistic Debt, Junior / Subordinated Debt, Mezzanine, Senior Debt, Unitranche Debt","TPG's credit and real estate platform (acquired Angelo Gordon 2023), distressed debt and CRE specialist"
Graycliff Partners,Bank Spin-off, 123  ,2011,New York,21,25,-,95,-,-,533,16,"1,231",457,0,4,"Buyout, Divestiture, Expansion / Late Stage, Growth, Management Buyout, Recapitalisation, Succession","Mezzanine, Junior / Subordinated Debt",Bank spin-off buyout and growth equity firm
CCMP Capital Advisors,Bank Spin-off, 123  ,2006,New York,9,45,"1,310,354",617,-,-,408,-,"1,228",-,0,6,"Buyout, Co-Investment, Divestiture, Growth, Management Buyout, PIPE, Private to Public, Public to Private, Restructuring, Spin-Offs",-,"JPMorgan spin-off (2006), middle-market buyout firm across multiple sectors"
Clarion Capital Partners,Independent Firm, 112  ,1999,New York,19,16,-,100,-,-,302,-,"1,124",-,4,6,"Buyout, Complex Situation, Expansion / Late Stage, Growth, Recapitalisation, Secondaries, Venture Debt","CLOs, Distressed Debt, Mezzanine",Independent secondaries specialist complex situations and special transactions buyout and growth equity firm
Beecken Petty O'Keefe & Company,Independent Firm, 111  ,1996,Chicago,17,24,"1,000",71,-,-,401,-,"1,111",-,1,6,"Buyout, Expansion / Late Stage, Growth, Recapitalisation",-,Independent buyout and growth equity firm
Arena Investors,Independent Firm, 109  ,2015,New York,27,35,568,163,-,-,955,"1,203","1,091","2,540",0,1,"Buyout, Co-Investment, Direct Secondaries, Growth, Recapitalisation, Restructuring, Turnaround","CLOs, Direct Lending, Distressed Debt, Mezzanine, Special Situations, Venture Debt, Blended / Opportunistic Debt, Junior / Subordinated Debt, Senior Debt",Independent secondaries and direct secondaries investor turnaround and restructuring specialist buyout and growth equity firm
Obsidian Investment Partners,Independent Firm, 109  ,2019,New York,-,-,,-,-,-,282,-,"1,089",-,0,14,Growth,-,Independent growth equity firm
Peakline Partners,Independent Firm, 107  ,2017,Chicago,25,17,"2,600","2,000",-,-,435,151,"1,073",440,10,2,"Co-Investment, Complex Situation, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth","Direct Lending, Senior Debt",Independent complex situations and special transactions growth equity firm
Avenue Capital Group,Independent Firm, 107  ,1995,New York,60,9,"2,600",167,-,-,515,799,"1,073","6,603",0,2,"Complex Situation, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth, Recapitalisation, Reorganisation, Restructuring, Turnaround, Venture Debt","Direct Lending, Distressed Debt, Mezzanine, Real Estate Debt, Special Situations, Venture Debt, Junior / Subordinated Debt, Mezzanine, Senior Debt","Independent turnaround, restructuring, and special situations focus growth equity firm"
WP Global Partners,Independent Firm, 107  ,2005,Chicago,14,24,"29,000",229,-,-,337,36,"1,072",92,1,17,"Buyout, Co-Investment, Expansion / Late Stage, Fund of Funds, Growth, Secondaries","Fund of Funds, Secondaries",Independent fund-of-funds specialist buyout and growth equity firm
Catalio Capital Management,Corporate Spin-off, 107  ,2020,New York,40,8,"2,389",49,-,-,320,65,"1,070",154,0,14,"Co-Investment, Early Stage, Early Stage: Seed, Early Stage: Start-up, Growth","Special Situations, Venture Debt",Corporate spin-off growth equity firm
E2P,Independent Firm, 106  ,2018,Chicago,13,23,"17,000",131,-,-,304,-,"1,064",-,1,7,"Buyout, Co-Investment, Divestiture, Early Stage, Growth, Spin-Offs, Turnaround",-,Independent turnaround and restructuring specialist buyout and growth equity firm
Invus Financial Advisors,Corporate Spin-off, 105  ,2006,New York,34,8,"3,700",70,-,-,256,-,"1,054",-,2,7,"Balanced, Co-Investment, Complex Situation, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Fund of Funds, Growth, Turnaround, Venture (General)",-,"Corporate spin-off fund-of-funds specialist turnaround, restructuring, and special situations focus growth equity firm"
Saw Mill Capital,Independent Firm, 105  ,1997,Briarcliff Manor,20,22,"4,100",39,600,-,436,-,"1,052",-,0,4,"Buyout, Co-Investment, Complex Situation, Divestiture, Growth, Succession",-,Independent complex situations and special transactions buyout and growth equity firm
Keystone Capital,Independent Firm, 105  ,1994,Chicago,24,24,"1,215",-,-,-,586,-,"1,050",-,0,2,"Buyout, Divestiture, Growth, Recapitalisation, Succession",-,Independent buyout and growth equity firm
Valor Capital Group,Independent Firm, 102  ,2011,New York,30,9,"3,800,000",87,-,-,272,-,"1,024",-,2,26,"Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth",-,Independent growth equity firm
Constellation Wealth Capital,Independent Firm, 100  ,2023,Chicago,13,38,"3,000",-,-,-,500,-,"1,000",-,2,1,"Co-Investment, Expansion / Late Stage, Growth",-,Independent growth equity firm
May River Capital,Independent Firm, 98  ,2012,Chicago,14,24,"3,200",71,"1,000",-,339,-,980,-,0,9,"Buyout, Co-Investment, Divestiture, Growth, Management Buyout, Recapitalisation, Succession",-,Independent buyout and growth equity firm
Alkeon Capital Management,Independent Firm, 95  ,2002,New York,28,12,"3,000",-,-,-,324,-,945,-,3,0,"Buyout, Growth",-,Independent buyout and growth equity firm
Dextra Partners,Independent Firm, 93  ,2022,New York,13,32,-,385,-,-,412,-,925,-,4,1,"Buyout, Co-Investment, Early Stage: Seed, Secondaries","Direct Lending, Senior Debt, Unitranche Debt",Independent secondaries specialist middle-market buyout firm
Town Hall Ventures,Independent Firm, 92  ,2018,New York,10,28,"42,000",-,-,-,277,-,917,-,1,3,"Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth",-,Independent growth equity firm
Coalesce Capital,Independent Firm, 90  ,2022,New York,19,39,"43,000",74,-,-,734,-,900,-,4,1,"Buyout, Expansion / Late Stage, Growth",-,Independent buyout and growth equity firm
HOF Capital,Independent Firm, 89  ,2016,New York,6,48,"5,170",200,-,-,291,-,887,-,3,54,"Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth, Venture (General)",-,Early to growth-stage VC focused on deep-tech investments globally
Rethink Capital Partners,Independent Firm, 87  ,1981,White Plains,23,12,"4,800",130,580,-,269,-,866,-,2,7,"Co-Investment, Early Stage, Early Stage: Seed, Early Stage: Start-up, Growth, Venture (General)",-,Independent growth equity firm
Pfingsten Partners,Independent Firm, 82  ,1989,Chicago,20,13,-,39,-,-,264,-,817,-,0,6,"Buyout, Divestiture, Growth, Recapitalisation, Restructuring, Spin-Offs, Succession, Turnaround",-,Independent turnaround and restructuring specialist buyout and growth equity firm
Growth Catalyst Partners,Independent Firm, 78  ,2015,Chicago,9,40,"10,155",26,-,-,357,-,784,-,1,5,"Buyout, Early Stage, Growth",-,Independent buyout and growth equity firm
RiverGlade Capital,Independent Firm, 78  ,2017,Chicago,13,27,"1,205",45,-,-,357,-,778,-,0,2,"Buyout, Growth",-,Independent buyout and growth equity firm
GCP Capital Partners,Bank Spin-off, 78  ,2009,New York,6,81,"17,000",108,-,-,485,-,776,-,0,7,"Buyout, Early Stage, Growth, Recapitalisation, pre-IPO",-,"Middle-market PE focused on financial services, business services (spin-off from Greenhill Capital Partners 2009)"
747 Capital,Independent Firm, 73  ,2001,New York,7,46,"1,500",143,-,-,321,-,731,-,1,18,"Buyout, Co-Investment, Fund of Funds, Growth, Secondaries, Turnaround",-,"US small-cap buyout specialist ($350M funds), focuses on fund-of-funds, co-investments, and secondaries"
Benford Capital Partners,Independent Firm, 71  ,2004,Chicago,15,29,"3,026",23,-,-,433,-,714,-,0,7,"Buyout, Divestiture, Growth, Management Buyout, Recapitalisation, Spin-Offs, Succession",-,Independent buyout and growth equity firm
Periscope Equity,Independent Firm, 70  ,2012,Chicago,12,32,"5,000",-,-,-,389,-,700,-,0,3,"Buyout, Growth, Recapitalisation",-,Independent buyout and growth equity firm
Orkila Capital,Independent Firm, 69  ,2013,New York,8,35,"6,500",71,-,-,283,-,685,-,0,4,"Co-Investment, Early Stage, Early Stage: Seed, Early Stage: Start-up, Growth, Reorganisation",-,Independent growth equity firm
Broad Sky Partners,Independent Firm, 62  ,2021,New York,8,41,235,29,-,-,331,-,618,-,3,4,"Buyout, Growth",-,Independent buyout and growth equity firm
Good Springs Capital,Independent Firm, 61  ,2023,New York,6,62,"2,300",-,-,-,375,-,611,-,1,2,"Buyout, Growth",-,"Middle-market control investor formed 2023 by Alleghany Capital team, focuses on growth-oriented platforms with long-term mindset"
Astara Capital Partners,Independent Firm, 56  ,2020,New York,16,16,"3,107",-,-,-,250,-,555,-,2,5,"Buyout, Co-Investment, Divestiture, Public to Private, Recapitalisation, Restructuring, Spin-Offs, Turnaround",-,Independent turnaround and restructuring specialist middle-market buyout firm
Longshore Capital Partners,Independent Firm, 54  ,2019,Chicago,7,46,"1,000",-,-,-,322,-,535,-,1,2,"Buyout, Growth",-,Chicago lower middle-market PE focused on tech-enabled services with M&A and organic growth strategy
Zenyth Partners,Independent Firm, 53  ,2018,New York,6,46,"16,000",250,-,-,278,-,525,-,1,3,"Buyout, Early Stage: Start-up, Expansion / Late Stage, Growth",-,Healthcare services PE in Northeast US with permanent capital vehicle and operational expertise
Staple Street Capital,Independent Firm, 52  ,2010,New York,25,15,"26,100",36,-,-,368,-,520,-,0,2,"Buyout, Complex Situation, Divestiture, Growth, Management Buyout, Public to Private, Recapitalisation, Reorganisation, Restructuring, Spin-Offs, Succession, Turnaround",Special Situations,"Complex situations and inflection points specialist in middle market (carve-outs, turnarounds, take-privates)"
